Path,Size,Size (bytes),Modified
/media/Downloads/qbittorrent/complete/sonarr/Ghost.Whisperer.S05E19.1080p.WEB.H264-SHIIIT/shiiit-ghost.whisperer.s05e19.1080p.web.h264.mkv,2.51 GiB,2690911098,2026-06-23T00:26:00.428207673-07:00
/media/Downloads/qbittorrent/complete/sonarr/Ghost.Whisperer.S04E22.1080p.WEB.H264-SHIIIT/shiiit-ghost.whisperer.s04e22.1080p.web.h264.mkv,2.49 GiB,2672191550,2026-06-23T00:57:00.310032838-07:00
/media/Downloads/qbittorrent/complete/sonarr/Ghost.Whisperer.S02E04.1080p.WEB.H264-SHIIIT/shiiit-ghost.whisperer.s02e04.1080p.web.h264.mkv,2.48 GiB,2662332764,2026-06-23T00:45:00.635518544-07:00
/media/Downloads/qbittorrent/complete/sonarr/Ghost.Whisperer.S02E21.1080p.WEB.H264-SHIIIT/shiiit-ghost.whisperer.s02e21.1080p.web.h264.mkv,2.48 GiB,2661712219,2026-06-23T00:40:00.877805024-07:00
/media/Downloads/qbittorrent/complete/sonarr/Ghost.Whisperer.S03E15.1080p.WEB.H264-SHIIIT/shiiit-ghost.whisperer.s03e15.1080p.web.h264.mkv,2.43 GiB,2612237180,2026-06-23T05:30:38.45544432-07:00
/media/Downloads/qbittorrent/complete/sonarr/Ghost.Whisperer.S03E13.1080p.WEB.H264-SHIIIT/shiiit-ghost.whisperer.s03e13.1080p.web.h264.mkv,2.4 GiB,2579887182,2026-06-22T23:32:00.549028673-07:00
/media/Downloads/qbittorrent/complete/sonarr/Ghost.Whisperer.S04E21.1080p.WEB.H264-SHIIIT/shiiit-ghost.whisperer.s04e21.1080p.web.h264.mkv,2.4 GiB,2573035689,2026-06-23T00:55:00.610944457-07:00
/media/Downloads/qbittorrent/complete/sonarr/Ghost.Whisperer.S01E01.1080p.WEB.H264-SHIIIT/shiiit-ghost.whisperer.s01e01.1080p.web.h264.mkv,2.36 GiB,2533142472,2026-06-22T23:27:28.259129099-07:00
/media/Downloads/qbittorrent/complete/sonarr/Ghost.Whisperer.S02E22.1080p.WEB.H264-SHIIIT/shiiit-ghost.whisperer.s02e22.1080p.web.h264.mkv,2.36 GiB,2530969625,2026-06-23T00:42:00.732890803-07:00
/media/Downloads/qbittorrent/complete/cross-seed/Blutopia/Emily.in.Paris.S05.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX/Emily.in.Paris.S05E04.Rome.Has.Fallen.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX.mkv,1.4 GiB,1508189451,2025-12-24T06:14:04.79114342-08:00
/media/Downloads/qbittorrent/complete/cross-seed/DarkPeers/Emily.in.Paris.S05.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX/Emily.in.Paris.S05E04.Rome.Has.Fallen.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX.mkv,1.4 GiB,1508189451,2025-12-24T06:14:04.79114342-08:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Emily.in.Paris.S05.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX/Emily.in.Paris.S05E04.Rome.Has.Fallen.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX.mkv,1.4 GiB,1508189451,2025-12-24T06:14:04.79114342-08:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeBytes/[SubsPlease] Detective Conan - 1203 (1080p) [19448D57].mkv--be170d36/[SubsPlease] Detective Conan - 1203 (1080p) [19448D57].mkv,1.4 GiB,1502939218,2026-06-13T04:37:00.107210626-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/[SubsPlease] Detective Conan - 1203 (1080p) [19448D57].mkv--c6aa3ef8/[SubsPlease] Detective Conan - 1203 (1080p) [19448D57].mkv,1.4 GiB,1502939218,2026-06-13T04:37:00.107210626-07:00
/media/Downloads/qbittorrent/complete/sonarr/[SubsPlease] Detective Conan - 1203 (1080p) [19448D57].mkv,1.4 GiB,1502939218,2026-06-13T04:37:00.107210626-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/[SubsPlease] Detective Conan - 1204 (1080p) [416DF94F].mkv--8ee2dca7/[SubsPlease] Detective Conan - 1204 (1080p) [416DF94F].mkv,1.4 GiB,1498607182,2026-06-20T04:40:00.292885547-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/[SubsPlease] Detective Conan - 1204 (1080p) [416DF94F].mkv--24b34395/[SubsPlease] Detective Conan - 1204 (1080p) [416DF94F].mkv,1.4 GiB,1498607182,2026-06-20T04:40:00.292885547-07:00
/media/Downloads/qbittorrent/complete/sonarr/[SubsPlease] Detective Conan - 1204 (1080p) [416DF94F].mkv,1.4 GiB,1498607182,2026-06-20T04:40:00.292885547-07:00
/media/Downloads/qbittorrent/complete/sonarr/[Asakura] Tensei Shitara Slime Datta Ken 4th Season - 09 [1080p WEB AAC x264] [532BC33A].mkv,1.37 GiB,1467951459,2026-06-14T10:41:00.154780363-07:00
/media/Downloads/qbittorrent/complete/sonarr/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 08 (1080p) [BD3A26E1].mkv,1.37 GiB,1467401997,2026-06-02T19:54:06.903931658-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 09 (1080p) [961605DA].mkv--d4e9de5e/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 09 (1080p) [961605DA].mkv,1.37 GiB,1466402630,2026-06-05T08:39:00.259761139-07:00
/media/Downloads/qbittorrent/complete/sonarr/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 09 (1080p) [961605DA]/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 09 (1080p) [961605DA].mkv,1.37 GiB,1466402630,2026-06-05T08:39:00.259761139-07:00
